# StatCan survey → subject mapping. EDIT THE `subjects` COLUMN (the last one).
#
# The taxonomy is Statistics Canada’s, captured from their subject facet. The assignment is
# ours and is not published anywhere fetchable, so this file is the source of truth for it.
#
# Format: pipe-separate multiple subjects, e.g.  Health|Children and youth
#         leave blank to leave a survey unclassified (shown as unclassified, not guessed).
# Spelling must match the taxonomy exactly; the loader reports anything it does not recognize.
#
# suggest_name    — from the official survey title. Higher precision; a title is a deliberate label.
# suggest_content — from variable text. Lower precision: it filed CHMS under Languages and put
#                   Transportation on CCHS. Offered for reference, not as an answer.
#
survey_group	acronym	records	official_name	suggest_name	subjects	suggest_content
EICS_ECAE_2013	EICS	332	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Children and youth
LASS_EVAS_2019	LASS	332				Health
EICS_ECAE_2014	EICS	332	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Children and youth
PSES_SAFF_2014	PSES	313	Public Service Employee Survey (PSES)			Labour|Languages
LASS_EVAS_2016	LASS	302				Health
EICS_ECAE_2021	EICS	301	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Children and youth|Population and demography
EICS_ECAE_2020	EICS	299	Employment Insurance Coverage Survey (EICS)	Labour		Labour|Families, households and marital status|Population and demography|Children and youth
SAHCPDP_EASSPPP_2021	SAHCPDP	290				Health|Transportation
LASS_EVAS_2013	LASS	284				Health
LISA_ELIA_AllYears	LISA	274				Families, households and marital status|Income, pensions, spending and wealth
SNPS_SDIP_2021	SNPS	268				
SELCCA_CLDC_2023	SELCCA	268	Survey on Early Learning and Child Care Arrangements (SELCCA)	Education, training and learning|Children and youth		Children and youth|Transportation|Families, households and marital status
SSPCW2_SEGCV2_2023	SSPCW2	268				Labour
NTS_ENV_AllYears	NTS	263	National Travel Survey (NTS)	Travel and tourism		Income, pensions, spending and wealth|Transportation
CSSW2_ESCV2_2023	CSSW2	259				Health|Transportation
CSSW4_ESCV4_2023	CSSW4	254				Health|Transportation|Society and community|Families, households and marital status
CNICS_ENCVE_2017	CNICS	245	Childhood National Immunization Coverage Survey (CNICS)	Children and youth		Children and youth
PSIS_SIEP	PSIS	237	Postsecondary Student Information System (PSIS)	Education, training and learning		Education, training and learning
CSSCW_ESCCB_2021	CSSCW	229				Health
SELCCA_EMAGJE_2025	SELCCA	228	Survey on Early Learning and Child Care Arrangements (SELCCA)	Education, training and learning|Children and youth		Children and youth|Transportation|Education, training and learning|Families, households and marital status
NCS_ENC_2018	NCS	227				Health
SCMH_ECSM_2020	SCMH	218				Health
CPSS_SEPC_2020_S6	CPSS	214	Canadian Perspectives Survey Series (CPSS)			Older adults and population aging|Health
CVCS_ECVC_2021	CVCS	212				Health|Society and community|Population and demography
CSSW2_ESCV2_2024	CSSW2	195				Health|Housing
